id,target
0,0.54321
1,0.54492
2,0.54194
3,0.54175
4,0.54266
5,0.54154
6,0.54395
8,0.54214
10,0.54383
11,0.54348
12,0.54175
14,0.54253
15,0.54449
18,0.54221
21,0.54521
23,0.54488
24,0.54286
25,0.54416
27,0.54511
29,0.54365
30,0.54272
31,0.54500
32,0.54485
33,0.54332
37,0.54277
38,0.54376
39,0.54478
40,0.54178
41,0.54429
42,0.54348
44,0.54377
45,0.54288
47,0.54235
49,0.54258
51,0.54283
52,0.54266
53,0.54156
54,0.54426
55,0.54256
56,0.54520
57,0.54370
59,0.54359
60,0.54405
62,0.54316
63,0.54492
67,0.54511
68,0.54221
69,0.54548
70,0.54249
71,0.54415
73,0.54462
75,0.54333
76,0.54298
81,0.54271
82,0.54458
83,0.54240
86,0.54130
87,0.54291
88,0.54318
91,0.54448
92,0.54372
94,0.54307
97,0.54280
100,0.54605
102,0.54389
103,0.54320
105,0.54275
106,0.54410
108,0.54228
113,0.54418
114,0.54378
115,0.54324
118,0.54449
122,0.54158
124,0.54290
126,0.54196
128,0.54516
129,0.54435
130,0.54562
131,0.54449
132,0.54567
133,0.54219
134,0.54506
135,0.54226
136,0.54301
139,0.54165
140,0.54528
141,0.54275
146,0.54209
148,0.54334
151,0.54195
152,0.54450
154,0.54214
157,0.54393
158,0.54286
159,0.54520
161,0.54310
164,0.54332
165,0.54339
167,0.54313
