id,target
0,0.46803
1,0.55377
2,0.53959
3,0.48240
4,0.42640
5,0.53783
6,0.43397
8,0.54862
10,0.39992
11,0.48496
12,0.56211
14,0.48791
15,0.40421
18,0.38874
21,0.48275
23,0.36596
24,0.54895
25,0.55286
27,0.46398
29,0.25796
30,0.52880
31,0.53623
32,0.38785
33,0.49019
37,0.53059
38,0.32213
39,0.48938
40,0.44188
41,0.39470
42,0.43526
44,0.38037
45,0.44053
47,0.47693
49,0.43951
51,0.52558
52,0.56112
53,0.63015
54,0.28074
55,0.50253
56,0.36943
57,0.41124
59,0.47449
60,0.41512
62,0.45376
63,0.56464
67,0.48383
68,0.44448
69,0.43281
70,0.41257
71,0.36101
73,0.24134
75,0.48104
76,0.41155
81,0.52558
82,0.40699
83,0.35711
86,0.36253
87,0.42458
88,0.57573
91,0.50545
92,0.57203
94,0.53472
97,0.47725
100,0.42449
102,0.49121
103,0.48863
105,0.59440
106,0.40794
108,0.49273
113,0.33953
114,0.50476
115,0.53934
118,0.48991
122,0.50319
124,0.41910
126,0.41064
128,0.36258
129,0.31102
130,0.45700
131,0.55222
132,0.47241
133,0.47101
134,0.45344
135,0.55308
136,0.50106
139,0.42091
140,0.44550
141,0.42207
146,0.46423
148,0.52868
151,0.44960
152,0.26475
154,0.56421
157,0.58842
158,0.42789
159,0.43978
161,0.62290
164,0.54502
165,0.38185
167,0.53922
