id,target
0,0.72139
1,0.51760
2,0.59032
3,0.63660
4,0.50603
5,0.57058
6,0.72299
8,0.62921
10,0.64393
11,0.62246
12,0.64539
14,0.62271
15,0.63971
18,0.74351
21,0.56603
23,0.65027
24,0.62978
25,0.56364
27,0.55366
29,0.64651
30,0.63995
31,0.51301
32,0.65243
33,0.62960
37,0.61379
38,0.62845
39,0.56194
40,0.55361
41,0.65380
42,0.56262
44,0.52620
45,0.56058
47,0.67995
49,0.58040
51,0.57256
52,0.57186
53,0.74692
54,0.63829
55,0.61376
56,0.57716
57,0.66004
59,0.60760
60,0.68578
62,0.68983
63,0.62641
67,0.59588
68,0.59095
69,0.56658
70,0.60620
71,0.53494
73,0.73047
75,0.56699
76,0.68507
81,0.59263
82,0.45351
83,0.65228
86,0.67729
87,0.63932
88,0.62208
91,0.50822
92,0.60571
94,0.61354
97,0.62548
100,0.69225
102,0.50505
103,0.61700
105,0.65031
106,0.66246
108,0.67469
113,0.66512
114,0.53249
115,0.55344
118,0.68072
122,0.53538
124,0.65328
126,0.64717
128,0.73029
129,0.63653
130,0.63030
131,0.50802
132,0.58770
133,0.62624
134,0.44326
135,0.63895
136,0.56856
139,0.53739
140,0.63811
141,0.70656
146,0.57495
148,0.62791
151,0.60073
152,0.73494
154,0.60894
157,0.60582
158,0.54721
159,0.70589
161,0.63762
164,0.53981
165,0.65285
167,0.52954
