id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
7,0,2,2,5,1,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0.7,0.2,0.7180703307999999,10,1,-1,0,1,4,1,0,0,1,12,2,0.4,0.8836789178,0.3708099244,3.6055512755,0.6,0.5,0.2,3,1,10,1,10,1,5,9,1,5,8,0,1,1,0,0,1
9,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0.8,0.4,0.7660776723,11,1,-1,0,-1,11,1,1,2,1,19,3,0.316227766,0.6188165191,0.3887158345,2.4494897428,0.3,0.1,0.3,2,1,9,5,8,1,7,3,1,1,9,0,1,1,0,1,0
13,0,5,4,9,1,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0.0,0.0,-1.0,7,1,-1,0,-1,14,1,1,2,1,60,1,0.316227766,0.6415857163,0.34727510710000004,3.3166247904,0.5,0.7,0.1,2,2,9,1,8,2,7,4,2,7,7,0,1,1,0,1,0
16,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.2,0.5809475019,7,1,0,0,1,11,1,1,3,1,104,1,0.3741657387,0.5429487899000001,0.2949576241,2.0,0.6,0.9,0.1,2,4,7,1,8,4,2,2,2,4,9,0,0,0,0,0,0
17,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.7,0.6,0.840758586,11,1,-1,0,-1,14,1,1,2,1,82,3,0.3160696126,0.5658315025,0.3651027253,2.0,0.4,0.6,0.0,2,2,6,3,10,2,12,3,1,1,3,0,0,0,1,1,0
19,0,5,1,4,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0.9,1.8,2.3326487091,10,0,-1,0,0,14,1,1,0,1,104,2,0.4459820624000001,0.879049073,0.4062019202,3.0,0.7,0.8,0.4,3,1,8,2,11,3,8,4,2,0,9,0,1,0,1,1,1
20,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0.6,0.1,0.6174544518,6,1,-1,0,1,11,1,1,0,1,99,2,0.316227766,0.6396829018,0.3687817783,3.1622776602,0.2,0.6,0.5,2,2,8,1,8,3,10,3,0,0,10,0,1,0,0,1,0
22,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.7,0.4,0.6072478901,11,1,0,0,0,11,1,1,2,1,30,3,0.4469899328,0.9005737382,0.3748332963,3.3166247904,0.1,0.5,0.1,1,2,7,1,6,1,13,7,1,3,6,1,0,1,0,1,0
26,0,5,1,3,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0.9,0.7,0.9013878189,10,1,-1,0,1,14,1,1,0,1,68,3,0.4,0.7806412918000001,0.4074309757,2.8284271247,0.9,0.8,0.6,3,1,7,3,9,4,11,4,2,1,5,0,1,0,0,0,1
28,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0.9,1.4,2.3166516786,11,0,0,1,0,14,1,1,2,1,104,2,0.4472135955,1.4581843686000002,0.390256326,3.6055512755,0.7,0.8,0.8,2,2,8,2,9,1,11,3,5,0,6,0,1,0,0,1,0
34,0,5,2,2,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0.5,0.4,0.7956915231,11,1,-1,8,-1,13,1,1,2,1,20,3,0.4472135955,0.8751977343999999,0.4295346319,2.8284271247,0.8,0.1,0.0,2,3,8,2,9,4,7,6,3,3,6,0,1,1,0,1,1
35,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0.9,0.1,0.3783186488000001,11,0,-1,0,-1,11,1,0,0,1,36,3,0.3741657387,0.9544913405,0.3793415348,3.7416573868,0.3,0.7,0.5,2,2,8,2,10,1,8,9,2,1,10,0,1,0,1,0,0
36,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0.5,0.2,0.548292805,6,1,-1,0,-1,11,1,1,2,1,101,3,0.3741657387,0.7653390109,0.3850973903,3.1622776602,0.7,0.8,0.9,4,1,8,4,11,1,9,6,3,3,8,0,0,1,0,0,1
43,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0.7,0.9,0.6841966092,9,1,0,0,1,6,1,1,2,1,104,3,0.4,0.9833111544,0.35608987630000005,3.6055512755,0.8,0.7,0.6,2,1,10,1,8,3,8,2,0,4,3,0,0,1,0,1,0
46,0,5,1,11,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0.8,0.6,1.0529719844,11,1,-1,0,-1,11,1,1,2,1,103,1,0.316227766,0.5665248567,0.3583294573,2.6457513111,0.4,0.4,0.1,3,1,8,2,6,3,12,4,1,3,9,0,0,0,0,1,0
48,0,5,1,3,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0.4,0.3,-1.0,6,1,-1,9,1,15,1,0,0,1,41,2,0.5477225575,1.7191579719,0.5329165038,3.7416573868,0.5,0.4,0.2,2,1,9,5,10,2,13,5,2,6,7,0,1,1,0,1,0
