id,target
0,0.37706
1,0.40747
2,0.28335
3,0.29426
4,0.25722
5,0.28061
6,0.36010
8,0.26813
10,0.50419
11,0.29652
12,0.22183
14,0.28447
15,0.44019
18,0.43666
21,0.32927
23,0.28054
24,0.25594
25,0.27155
27,0.26363
29,0.34340
30,0.37857
31,0.30758
32,0.41682
33,0.26732
37,0.39802
38,0.32117
39,0.39406
40,0.24067
41,0.39323
42,0.40359
44,0.28283
45,0.36268
47,0.31174
49,0.35913
51,0.27528
52,0.28072
53,0.35339
54,0.45116
55,0.33479
56,0.47107
57,0.34473
59,0.34868
60,0.45001
62,0.35572
63,0.39236
67,0.36394
68,0.27234
69,0.51613
70,0.33188
71,0.24334
73,0.36806
75,0.41980
76,0.37788
81,0.31707
82,0.33174
83,0.35205
86,0.34927
87,0.45646
88,0.27697
91,0.34399
92,0.42113
94,0.35314
97,0.29256
100,0.44001
102,0.30431
103,0.25371
105,0.41161
106,0.39540
108,0.36266
113,0.36232
114,0.37745
115,0.28234
118,0.37840
122,0.22426
124,0.30503
126,0.35986
128,0.30551
129,0.32311
130,0.35530
131,0.33789
132,0.39140
133,0.30195
134,0.31456
135,0.41466
136,0.24149
139,0.23444
140,0.36823
141,0.36059
146,0.25876
148,0.48031
151,0.31372
152,0.50250
154,0.26625
157,0.28990
158,0.24773
159,0.48179
161,0.46381
164,0.34177
165,0.48971
167,0.30779
